Iteration,KL_’ñˆÄŽè–@,HD_’ñˆÄŽè–@,JSD_’ñˆÄŽè–@,KL_”äŠrŽè–@,HD_”äŠrŽè–@,JSD_”äŠrŽè–@
1,2.0375316,0.874573749,0.190837192,4.851400803,0.578622039,0.135187792
2,1.868210719,0.85281409,0.184179911,7.715270977,0.904383032,0.219777872
3,1.188596098,0.700610751,0.149342771,5.430353473,0.782556929,0.159077838
4,1.071742522,0.715160067,0.141491081,8.6905273,0.943247041,0.235848705
5,1.392990222,0.82879059,0.178653301,2.764799547,0.749246822,0.166196304
1,1.388635298,0.779256306,0.151285595,4.882464319,0.784217298,0.162445849
2,1.238463682,0.702248242,0.143558689,9.034435579,0.946839913,0.20850486
3,1.425463036,0.794462151,0.150099591,4.1734039,0.700009504,0.150348882
4,1.447732448,0.801024175,0.153914556,2.395195676,0.528680183,0.092703776
5,1.559703114,0.832167392,0.16332717,6.486791976,0.703793423,0.145793482
1,0.568687229,0.620697654,0.104907961,3.27909432,0.565865683,0.119785174
2,0.386848951,0.486132488,0.072950261,5.873592675,0.81669398,0.164620686
3,1.036630899,0.778036316,0.148719855,5.074079013,0.723498455,0.135992515
4,1.01345594,0.744321248,0.147515661,6.690689339,0.847469884,0.172383631
5,1.092188667,0.718294221,0.157641768,3.450675543,0.734608425,0.137137106
1,1.756954256,0.793581028,0.179366086,3.378649061,0.657476205,0.137219587
2,1.204484233,0.776715308,0.164032228,5.375763639,0.764254153,0.165433817
3,1.36343278,0.777543418,0.166887382,4.540396053,0.84258354,0.172491347
4,1.67987702,0.879581513,0.194939316,5.346543315,0.840175077,0.172419708
5,1.456429164,0.78782622,0.170698115,6.35315241,0.914200208,0.202102776
1,1.58160012,0.872446364,0.210104244,5.838293728,0.727296168,0.153901436
2,1.183981924,0.723130983,0.169899011,4.375972566,0.754037354,0.160322611
3,0.714987243,0.719620889,0.132272945,6.929322604,0.842965573,0.18732213
4,0.734016511,0.594728774,0.127792695,6.800018635,0.948483686,0.208229173
5,0.414918999,0.491502446,0.080670701,3.984883637,0.642965464,0.11733171
