Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,1.386031138831726,5.910295164213608,0.7596460655328363,0.8405902426340589,0.16848041604875874,0.18483774953944146
2,3.5036712865581516,5.1248898939748955,1.146343434408105,0.7835206233242175,0.38436502569173525,0.18168915932430774
3,2.3511699166783866,5.10742752679109,0.865337753589698,0.7065983287952516,0.23073362291778896,0.16684498842058382
4,3.194055537725262,5.386555196190147,1.0790987866920632,0.8562815446815719,0.3706032368933824,0.18680971442661162
5,3.3350734948757674,5.884570184195033,1.139045484910733,0.8671124770984938,0.37609172792625445,0.20444444272700038
6,2.7688857373551805,5.92271453711043,0.966488085000256,0.8321214378573017,0.2772557672456121,0.18350354949656936
7,1.5315726016428979,5.355738724314537,0.7713377137738968,0.8756142769503747,0.1757894299179758,0.19528760562604625
8,2.0755536414600244,5.5669348734351,0.9151443203644497,0.6854439718631451,0.3012263968196151,0.15086477494396738
9,2.718800183051765,3.967242629064649,1.0694895317193178,0.7192981501550464,0.3419013838180875,0.17280834319353797
10,2.036164084866906,8.623410566716215,0.8194032508572201,0.9003794857497145,0.2039815525174602,0.21016376962807518
11,1.7354915907679822,6.180848017672719,0.7485344340035055,0.8049852654797915,0.17709241242829601,0.17942037669770572
12,2.196393321398722,5.0301575942615875,0.8715382676522283,0.8392291984443958,0.22242714685578877,0.1869781054910028
13,2.5700695264507543,6.106348544888279,0.9977831588045771,0.8008307273676578,0.3155181193750888,0.18821718606315033
14,1.546451565794104,9.11221433088456,0.658730289874186,0.925526576011619,0.1526021091823573,0.2166730894840026
15,1.7557604497147405,6.487394186657681,0.7352162174240648,0.7768514091767318,0.1694698393425585,0.1771920115764265
16,3.1079105372022386,5.166275598359479,1.1081294922765732,0.7840140100886623,0.3649697994900286,0.18743435836965397
17,1.9339144900282752,8.199801926291782,0.7652225247535557,0.9658419051273222,0.1900954861251194,0.23957869131271872
18,1.630486565413691,5.908345100373953,0.7193565220009229,0.8157902228053919,0.1684167096054886,0.18209895646073643
19,1.5112072984297307,4.288349250070088,0.6622167325593991,0.6108676889802879,0.14591132086425948,0.13482618091228105
20,3.3487805670861115,6.376449037253225,1.0943246785077634,0.8503104690389585,0.37345860357840666,0.2087491579569005
