Iteration,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル(Pathあり),提案モデル(Pathあり),提案モデル(Pathあり)
1,1.855230541,7.497236647,0.770863879,0.901355755,0.182832387,0.223589918,0.991110746,0.791974572,0.182135248
2,1.696653509,7.353894354,0.728422363,0.8105106,0.16988023,0.200844054,0.653479077,0.647175447,0.113194162
3,1.305006011,3.534234987,0.758763136,0.680649891,0.184813015,0.15206638,1.20035116,0.848762972,0.21830633
4,1.989836561,9.421904725,0.772620031,0.948797755,0.191298587,0.234830966,0.822091472,0.713141222,0.135931527
5,2.954712252,7.001057682,1.102446677,0.981518441,0.364319511,0.244709139,2.580811274,1.018178689,0.314230151
6,2.529129014,9.409824692,0.942545108,0.882210142,0.252892855,0.237866179,1.718803063,0.912551937,0.264976999
7,1.826021667,6.710845246,0.737602118,0.733195325,0.171092075,0.172238031,2.208005235,0.98885998,0.299503834
8,1.580479892,5.675328157,0.684555307,0.722545504,0.161956533,0.163557916,2.101732354,0.965363116,0.289533034
9,3.03303982,7.270354275,1.136521624,0.941484771,0.367441342,0.235664982,1.182720334,0.812274437,0.215629616
10,2.449885265,5.936072801,0.963871659,0.794278355,0.275645935,0.173230678,2.450326348,1.052768181,0.323272347
11,2.139417747,8.121902397,0.832342713,0.78709848,0.19916883,0.189907553,2.92875562,0.999653621,0.324979999
12,1.978929152,9.906101136,0.79010237,0.936566997,0.184863897,0.238920456,1.188159968,0.829338703,0.212895765
13,2.351158744,6.062126967,0.966462229,0.879276588,0.300186481,0.195540678,0.764587224,0.677686263,0.125684845
14,3.245361918,6.057575301,1.087490345,0.865418494,0.362388916,0.191997223,0.808988621,0.739551382,0.149628936
15,1.486710941,3.532976283,0.776347017,0.799150194,0.194730737,0.171887349,2.451696409,0.956394306,0.288213399
16,2.931775963,7.207226688,1.053643664,0.932348075,0.350848752,0.214525018,0.737761408,0.644021143,0.118624609
17,2.494244892,4.780453436,1.006278759,0.713200045,0.310625186,0.158587185,2.081413187,1.019391751,0.304226416
18,1.768005173,7.379697317,0.738273509,0.874664794,0.173150001,0.207780063,1.476922476,0.864055529,0.269243762
19,2.507906727,6.216585653,0.917664906,0.788147786,0.258725727,0.178728664,0.609966516,0.646342645,0.117975931
20,1.582754909,8.930092755,0.709685526,0.734570956,0.161010035,0.186174765,0.56141989,0.582514023,0.100872831
,,,,,,,,,
反復1500回,,,,,,,,,
